word,count,reason
     ANECDOTES,2,follV
  ASSASSINATED,2,follV
     CASIMIR'S,2,follV
     CATHARINE,2,follV
       CERAMIC,2,follV
       CLANISH,2,follV
      CLASSISM,2,follV
       DAMAGES,2,follV
       DYNAMIC,2,follV
        FACETS,2,follV
         GASES,2,lexical
  GEOGRAPHICAL,2,follV
     GLAMOROUS,2,follV
       HASSLES,2,follV
      JANITORS,2,follV
  MANAGEMENT'S,2,follV
      MANAGING,2,follV
      MANNERED,2,follV
     MANNERISM,2,follV
      MARIANAS,2,follV
        PAMELA,2,follV
       PANELED,2,follV
       PANICKY,2,follV
  PHOTOGRAPHIC,2,follV
      PLANNERS,2,follV
        SANITY,2,follV
      SCAFFOLD,2,follV
       TITANIC,2,follV
        VANISH,2,follV
       ALASKAN,2,sC
      ASPIRINS,2,sC
    ASTEROID'S,2,sC
         ASTOR,2,sC
        CASTOR,2,sC
       DRASTIC,2,sC
       ELASTIC,2,sC
       GASKELL,2,sC
        JASPER,2,sC
        MASCOT,2,sC
       PASKILL,2,sC
 SARCASTICALLY,2,sC
    SCHOLASTIC,2,sC
       REMARRY,1,-arry
    ADVANTAGES,1,CMU
    CANDIDATES,1,CMU
      GRANDMAS,1,CMU
        LANTIC,1,CMU
   TANTALIZING,1,CMU
       VANTAGE,1,CMU
  *PERSONALITY,1,follL
          AL'S,1,follL
         ALCO-,1,follL
         ALCOA,1,follL
     ALCOHOL'S,1,follL
    ALCOHOLISM,1,follL
         ALECK,1,follL
        ALFRED,1,follL
         ALGER,1,follL
         ALLAN,1,follL
       ALLAN'S,1,follL
     ALLEGHANY,1,follL
      ALLEMAND,1,follL
       ALLEN'S,1,follL
       ALLERGY,1,follL
     ALLIGATOR,1,follL
     ALLOCATED,1,follL
          ALMA,1,follL
       ALMALFI,1,follL
        ALPINE,1,follL
         ALTOS,1,follL
       ALUCARD,1,follL
         ALVIE,1,follL
         ALVIN,1,follL
      BALANCED,1,follL
      BALANCES,1,follL
     BALANCING,1,follL
    BALCONWOOD,1,follL
     BATTALION,1,follL
     BRUTALITY,1,follL
          CALC,1,follL
    CALCULATED,1,follL
        CALICO,1,follL
        CALLOW,1,follL
    CALLOWHILL,1,follL
       CALVARY,1,follL
       CALVERT,1,follL
   CHALLENGIN',1,follL
         DALLY,1,follL
